date,depression,anxiety,therapy,burnout,mental health,panic attack,stress,counseling,psychiatrist,antidepressants,depression_ma4,depression_std4,depression_ma12,depression_std12,depression_ma26,depression_std26,anxiety_ma4,anxiety_std4,anxiety_ma12,anxiety_std12,anxiety_ma26,anxiety_std26,therapy_ma4,therapy_std4,therapy_ma12,therapy_std12,therapy_ma26,therapy_std26,burnout_ma4,burnout_std4,burnout_ma12,burnout_std12,burnout_ma26,burnout_std26,mental health_ma4,mental health_std4,mental health_ma12,mental health_std12,mental health_ma26,mental health_std26,panic attack_ma4,panic attack_std4,panic attack_ma12,panic attack_std12,panic attack_ma26,panic attack_std26,stress_ma4,stress_std4,stress_ma12,stress_std12,stress_ma26,stress_std26,counseling_ma4,counseling_std4,counseling_ma12,counseling_std12,counseling_ma26,counseling_std26,psychiatrist_ma4,psychiatrist_std4,psychiatrist_ma12,psychiatrist_std12,psychiatrist_ma26,psychiatrist_std26,antidepressants_ma4,antidepressants_std4,antidepressants_ma12,antidepressants_std12,antidepressants_ma26,antidepressants_std26
2021-06-13,21.0,27.0,44.0,3,15.0,5,65.0,20.0,11.0,4,21.5,0.5773502691896247,22.666666666666668,1.0730867399773132,23.03846153846154,1.2800240382358206,27.75,0.9574271077563394,28.416666666666668,0.9003366373785195,28.153846153846153,1.2551432648843783,43.25,1.4999999999999998,44.333333333333336,2.229281716090892,42.15384615384615,3.460546866520468,3.0,0.0,3.0,0.0,2.9615384615384617,0.19611613513818407,15.5,1.0000000000000013,17.0,2.215646837627989,16.0,2.3151673805580457,5.0,0.0,5.0,0.0,4.961538461538462,0.19611613513818404,65.75,1.7078251276599365,67.58333333333333,2.3915887961137723,65.88461538461539,5.014594085881113,19.25,0.49999999999999967,19.666666666666668,0.4923659639173306,19.153846153846153,1.9327143129248603,10.5,0.5773502691896248,10.416666666666666,0.5149286505444356,10.038461538461538,0.9156754547663374,3.75,0.5,3.9166666666666665,0.2886751345948128,3.8846153846153846,0.3258125936084211
2021-06-20,20.0,26.0,42.0,3,14.0,5,62.0,20.0,11.0,4,21.0,0.8164965809277249,22.416666666666668,1.311372170551501,23.03846153846154,1.2800240382358206,27.0,0.8164965809277271,28.166666666666668,1.1146408580454243,28.23076923076923,1.0318020084373678,42.75,1.4999999999999998,44.25,2.301185465244973,42.53846153846154,2.774610159727228,3.0,0.0,3.0,0.0,2.9615384615384617,0.19611613513818407,14.75,0.5000000000000029,16.916666666666668,2.314316444667973,16.076923076923077,2.20767890641872,5.0,0.0,5.0,0.0,5.0,0.0,64.25,1.7078251276599365,67.16666666666667,2.886751345948121,66.3076923076923,4.086751578153293,19.5,0.5773502691896257,19.666666666666668,0.4923659639173306,19.46153846153846,1.2721876978109532,10.75,0.4999999999999991,10.5,0.5222329678670918,10.192307692307692,0.69392972377501,3.75,0.5,3.9166666666666665,0.2886751345948128,3.923076923076923,0.2717464881947029
2021-06-27,20.0,27.0,42.0,4,14.0,5,60.0,19.0,10.0,4,20.75,0.9574271077563372,22.166666666666668,1.4668044012461698,23.0,1.3564659966250532,27.0,0.8164965809277271,28.0,1.1281521496355311,28.26923076923077,0.9615692302769395,43.0,1.154700538379251,44.166666666666664,2.3677121037112556,42.76923076923077,2.4381581951578526,3.25,0.5,3.0833333333333335,0.288675134594813,3.0384615384615383,0.19611613513818407,14.5,0.5773502691896282,16.75,2.4541245430351073,16.23076923076923,1.8827148973265675,5.0,0.0,5.0,0.0,5.0,0.0,62.75,2.217355782608347,66.5,3.529099807960298,66.65384615384616,2.9657013698928916,19.5,0.5773502691896257,19.583333333333332,0.5149286505444381,19.653846153846153,0.6287961636210945,10.75,0.4999999999999991,10.416666666666666,0.5149286505444356,10.26923076923077,0.5334935656738373,3.75,0.5,3.9166666666666665,0.2886751345948128,3.9615384615384617,0.1961161351381837
2021-07-04,20.0,27.0,41.0,3,14.0,5,60.0,19.0,11.0,3,20.25,0.4999999999999976,22.0,1.595448070434926,22.884615384615383,1.478564792680336,26.75,0.500000000000002,27.916666666666668,1.164500152881314,28.23076923076923,0.9922778767136684,42.25,1.2583057392117905,44.166666666666664,2.3677121037112556,42.84615384615385,2.3442236700845394,3.25,0.5,3.0833333333333335,0.288675134594813,3.0384615384615383,0.19611613513818407,14.25,0.5000000000000029,16.583333333333332,2.5746432527221863,16.26923076923077,1.8233527866585195,5.0,0.0,5.0,0.0,5.0,0.0,61.75,2.3629078131263066,65.91666666666667,3.9876703915337726,66.61538461538461,3.0473191244360684,19.5,0.5773502691896257,19.5,0.5222329678670952,19.576923076923077,0.5777942140988835,10.75,0.4999999999999991,10.416666666666666,0.5149286505444356,10.307692307692308,0.5491251783869157,3.75,0.5,3.8333333333333335,0.3892494720807613,3.923076923076923,0.2717464881947029
2021-07-11,20.0,28.0,43.0,3,17.0,5,61.0,20.0,11.0,4,20.0,0.0,21.666666666666668,1.5569978883230402,22.73076923076923,1.5635265858358096,27.0,0.8164965809277271,27.75,0.9653072991634216,28.23076923076923,0.9922778767136684,42.0,0.8164965809277238,43.833333333333336,2.2087978356536007,42.96153846153846,2.27122467811125,3.25,0.5,3.0833333333333335,0.288675134594813,3.0384615384615383,0.19611613513818407,14.75,1.500000000000001,16.583333333333332,2.5746432527221863,16.346153846153847,1.809802369151013,5.0,0.0,5.0,0.0,5.0,0.0,60.75,0.9574271077563424,65.0,3.7172815091383375,66.5,3.2031234756093885,19.5,0.5773502691896257,19.5,0.5222329678670952,19.615384615384617,0.57109880594678,10.75,0.4999999999999991,10.416666666666666,0.5149286505444356,10.346153846153847,0.561591146105969,3.75,0.5,3.8333333333333335,0.3892494720807613,3.923076923076923,0.2717464881947029
2021-07-18,21.0,28.0,44.0,3,15.0,5,59.0,20.0,11.0,4,20.25,0.4999999999999976,21.416666666666668,1.3789543689024422,22.653846153846153,1.598557041642435,27.5,0.5773502691896278,27.75,0.9653072991634216,28.192307692307693,0.9805806756909211,42.5,1.2909944487358043,43.75,2.1794494717703703,43.11538461538461,2.1968508930179715,3.25,0.5,3.0833333333333335,0.288675134594813,3.0384615384615383,0.19611613513818407,15.0,1.4142135623730963,16.333333333333332,2.570225788926064,16.346153846153847,1.809802369151013,5.0,0.0,5.0,0.0,5.0,0.0,60.0,0.8164965809277323,64.08333333333333,3.728473568568665,66.26923076923077,3.516335505126803,19.5,0.5773502691896257,19.5,0.5222329678670952,19.653846153846153,0.5615911461059604,10.75,0.4999999999999991,10.5,0.5222329678670918,10.384615384615385,0.5710988059467877,3.75,0.5,3.8333333333333335,0.3892494720807613,3.923076923076923,0.2717464881947029
2021-07-25,20.0,28.0,44.0,3,16.0,5,61.0,21.0,11.0,4,20.25,0.4999999999999976,21.166666666666668,1.3371158468430353,22.5,1.6552945357246842,27.75,0.500000000000002,27.666666666666668,0.8876253645985935,28.153846153846153,0.9671528397231831,43.0,1.4142135623730943,43.416666666666664,1.7298624923456687,43.15384615384615,2.2034937293726586,3.0,0.0,3.0833333333333335,0.288675134594813,3.0384615384615383,0.19611613513818407,15.5,1.2909944487358067,16.0,2.2962419891481978,16.307692307692307,1.8059729957943629,5.0,0.0,5.0,0.0,5.0,0.0,60.25,0.9574271077563433,63.333333333333336,3.312053286059418,66.07692307692308,3.66522116029117,20.0,0.8164965809277257,19.583333333333332,0.6685579234215225,19.692307692307693,0.617687996919522,11.0,0.0,10.583333333333334,0.5149286505444356,10.461538461538462,0.5083911274417948,3.75,0.5,3.8333333333333335,0.3892494720807613,3.923076923076923,0.2717464881947029
2021-08-01,20.0,27.0,42.0,3,15.0,5,60.0,20.0,11.0,3,20.25,0.4999999999999976,20.833333333333332,1.0298573010888636,22.384615384615383,1.7222525500500334,27.75,0.500000000000002,27.5,0.7977240352174656,28.076923076923077,0.9766504768063935,43.25,0.9574271077563372,43.0,1.3483997249265205,43.19230769230769,2.172910136553851,3.0,0.0,3.0833333333333335,0.288675134594813,3.0384615384615383,0.19611613513818407,15.75,0.9574271077563394,15.416666666666666,1.3113721705515056,16.23076923076923,1.8178601113989459,5.0,0.0,5.0,0.0,5.0,0.0,60.25,0.9574271077563433,62.916666666666664,3.396745322787509,65.8076923076923,3.8472767591555557,20.25,0.49999999999999967,19.583333333333332,0.6685579234215225,19.73076923076923,0.6038339048243098,11.0,0.0,10.666666666666666,0.4923659639173294,10.5,0.5099019513592794,3.75,0.5,3.75,0.4522670168666453,3.8846153846153846,0.3258125936084211
2021-08-08,20.0,28.0,43.0,3,14.0,5,58.0,21.0,11.0,4,20.25,0.4999999999999976,20.583333333333332,0.792961461098745,22.23076923076923,1.7506042912706976,27.75,0.500000000000002,27.5,0.7977240352174656,28.115384615384617,0.9519211344191534,43.25,0.9574271077563372,42.833333333333336,1.1934162828797468,43.26923076923077,2.1271143327558577,3.0,0.0,3.0833333333333335,0.288675134594813,3.0384615384615383,0.19611613513818407,15.0,0.8164965809277279,15.083333333333334,1.0836246694508305,16.153846153846153,1.8695947730416393,5.0,0.0,5.0,0.0,5.0,0.0,59.5,1.2909944487358096,62.0,3.0748244591432377,65.46153846153847,4.130189043913314,20.5,0.5773502691896257,19.75,0.7537783614444091,19.76923076923077,0.6516251872168329,11.0,0.0,10.75,0.4522670168666439,10.538461538461538,0.508391127441795,3.75,0.5,3.75,0.4522670168666453,3.8846153846153846,0.3258125936084211
2021-08-15,20.0,28.0,43.0,3,15.0,5,58.0,21.0,11.0,3,20.0,0.0,20.416666666666668,0.6685579234215044,22.076923076923077,1.7646093487925734,27.75,0.500000000000002,27.416666666666668,0.6685579234215219,28.153846153846153,0.9248700532424093,43.0,0.8164965809277249,42.75,1.138180365959028,43.42307692307692,1.9426389664181467,3.0,0.0,3.0833333333333335,0.288675134594813,3.0384615384615383,0.19611613513818407,15.0,0.8164965809277279,14.916666666666666,0.9003366373785187,16.153846153846153,1.8695947730416393,5.0,0.0,5.0,0.0,5.0,0.0,59.25,1.500000000000003,61.166666666666664,2.622744341103025,65.15384615384616,4.378970725568358,20.75,0.49999999999999967,19.916666666666668,0.7929614610987581,19.846153846153847,0.6748219138295685,11.0,0.0,10.833333333333334,0.38924947208075966,10.576923076923077,0.5038314736557801,3.5,0.5773502691896257,3.6666666666666665,0.4923659639173307,3.8461538461538463,0.36794648440312
